CVEGEO,CENSO,VIVIENDA,HABITANTE,VIAJES_VIVIENDA,VIAJES_ORIGEN,VIAJES_DESTINO
1.40971E+12,11F,11F,11F,11F,11F,11F
1.40971E+12,11F,11F,11F,11F,11F,11F
1.40971E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,,
1.4097E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,,
1.4097E+12,11F,,,,,
1.40971E+12,11F,,,,,
1.40971E+12,11F,11F,11F,11F,11F,11F
140970045,39F,,,,,
140970823422A,39F,,,,,
1.4097E+12,17,17,17,17,17,17
1.4097E+12,17,,,,,
1.4097E+12,30F,30F,30F,30F,30F,30F
1.4098E+12,30,,,,,
1.4098E+12,30,30,30,30,30,30
1.4098E+12,30,,,,,
1.4097E+12,30,30,30,30,30,30
1.4097E+12,30,,,,,
140970884397A,30,30,30,30,30,30
1.40971E+12,30,30,30,30,30,30
1.4097E+12,30F,30F,30F,30F,30F,30F
1.4097E+12,30F,30F,30F,30F,30F,30F
1.4098E+12,30,,,,30,30
1.4098E+12,30,30,30,30,30,30
1.4097E+12,30,,,,30,30
140970025301A,30,,,,,
1.4098E+12,30,,,,30,30
1.40971E+12,30,,,,30,30
1.4097E+12,30F,,,,,
1.40971E+12,30,,,,30,30
1.40971E+12,30,30,30,30,30,30
1.40971E+12,30,30,30,30,30,30
1.40971E+12,30,30,30,30,30,30
1.4097E+12,30,,,,30,30
1.4097E+12,30,30,30,30,30,30
140970025080A,30,,,,30,30
1.4097E+12,30F,,,,,
1.40971E+12,30F,,,,,
1.4097E+12,30F,,,,30F,30F
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,,
1.4097E+12,30F,30F,30F,30F,30F,30F
1.40971E+12,30,,,,,
1.4097E+12,30,30,30,30,30,30
1.4097E+12,30,,,,,
140970025073A,30,,,,,
140970729,30,,,,,
1.4097E+12,30,,,,,
1.4097E+12,30,,,,,
1.4097E+12,30F,,,,,
1.4097E+12,30F,30F,30F,30F,30F,30F
1.4097E+12,30F,,,,30F,30F
140970025130A,30F,,,,30F,30F
1.4097E+12,30F,,,,,
1.4097E+12,30,,,,30,30
1.4098E+12,30,,,,30,30
1.4097E+12,30,,,,30,30
1.4097E+12,30,30,30,30,30,30
1.4097E+12,30,,,,30,30
1.4097E+12,30,30,30,30,30,30
1.4097E+12,30,,,,,
140970032116A,30,,,,30,30
140970032027A,30,30,30,30,30,30
1.4097E+12,30,30,30,30,30,30
1.4097E+12,30,,,,,
1.4097E+12,30,,,,,
1.4097E+12,30,,,,,
1.4097E+12,30,,,,,
1.4097E+12,30,,,,,
1.4097E+12,30,,,,30,30
1.4097E+12,30,30,30,30,30,30
1.4097E+12,30,,,,30,30
1.4098E+12,30,,,,,
1.4098E+12,30,,,,,
1.4097E+12,30,30,30,30,30,30
1.4097E+12,30,,,,30,30
1.40971E+12,30,30,30,30,30,30
1.40971E+12,30,,,,,
1.40971E+12,30,,,,,
1.40971E+12,30,,,,,
1.4097E+12,30,,,,30,30
1.4097E+12,30,,,,,
1.4097E+12,30,,,,30,
140980014295A,30,,,,30,30
1.4098E+12,30,,,,,
1.4098E+12,30,,,,,
1.4098E+12,30,30,30,30,30,30
1.4098E+12,30,30,30,30,30,30
140970879,30,,,,,
140980083,30,,,,,
140980126,30,,,,,
140980092,22,,,,,
1.4098E+12,30,30,30,30,30,30
1.4098E+12,30,30,30,30,30,30
1.4098E+12,30,,,,30,30
140980049,22,,,,,
1.4097E+12,24A,,,,,
1.412E+12,24A,24A,24A,24A,24A,24A
1.412E+12,25,,,,25,25
1.412E+12,25,25,25,25,25,25
1.412E+12,25,25,25,25,25,25
1.412E+12,25,25,25,25,25,25
1.412E+12,23,23,23,23,23,23
1.412E+12,23,,,,,
1.412E+12,23,23,23,23,23,23
1.412E+12,23,23,23,23,23,23
1.412E+12,23,,,,,
1.412E+12,23,23,23,23,23,23
1.412E+12,25,,,,,
1.412E+12,23,23,23,23,23,23
141200001454A,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,,
1.412E+12,23,,,,,
141200468,25,,,,,
1.412E+12,25,,,,,
1.4097E+12,24A,,,,24A,24A
1.412E+12,24A,24A,24A,24A,24A,24A
1.412E+12,24A,24A,24A,24A,24A,24A
141200001657A,24A,24A,24A,24A,24A,24A
1.412E+12,24A,24A,24A,24A,24A,24A
140970180123A,24A,24A,24A,24A,24A,24A
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,43,,,,43,43
1.412E+12,43,,,,43,43
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
